category_id,category_name,year,current_year_depreciation,accumulated_depreciation_year_end,variance_check
1719,ELECTRONICS & ELECTRICALS,2013,66330.80,66330.80,0.00
1719,ELECTRONICS & ELECTRICALS,2014,533005.96,599336.76,0.00
1719,ELECTRONICS & ELECTRICALS,2015,565177.03,1164513.79,0.00
1719,ELECTRONICS & ELECTRICALS,2016,576953.28,1741467.07,0.00
1719,ELECTRONICS & ELECTRICALS,2017,606976.34,2348443.41,0.00
1719,ELECTRONICS & ELECTRICALS,2018,552630.42,2901073.83,0.00
1719,ELECTRONICS & ELECTRICALS,2019,102940.64,3004014.47,0.00
1719,ELECTRONICS & ELECTRICALS,2020,105459.59,3109474.06,0.00
1719,ELECTRONICS & ELECTRICALS,2021,108261.21,3217735.27,0.00
1719,ELECTRONICS & ELECTRICALS,2022,128939.99,3346675.26,0.00
1719,ELECTRONICS & ELECTRICALS,2023,207366.71,3554041.97,0.00
1719,ELECTRONICS & ELECTRICALS,2024,194422.63,3748464.60,0.00
1719,ELECTRONICS & ELECTRICALS,2025,163706.39,3912170.99,0.00
1720,FURNITURE & FIXTURES,2013,84688.55,84688.55,0.00
1720,FURNITURE & FIXTURES,2014,1409819.13,1494507.68,0.00
1720,FURNITURE & FIXTURES,2015,1520931.32,3015439.00,0.00
1720,FURNITURE & FIXTURES,2016,1533960.14,4549399.14,0.00
1720,FURNITURE & FIXTURES,2017,1557504.22,6106903.36,0.00
1720,FURNITURE & FIXTURES,2018,1513120.22,7620023.58,0.00
1720,FURNITURE & FIXTURES,2019,210969.31,7830992.89,0.00
1720,FURNITURE & FIXTURES,2020,141989.54,7972982.43,0.00
1720,FURNITURE & FIXTURES,2021,160278.90,8133261.33,0.00
1720,FURNITURE & FIXTURES,2022,159885.08,8293146.41,0.00
1720,FURNITURE & FIXTURES,2023,155946.29,8449092.70,0.00
1720,FURNITURE & FIXTURES,2024,176141.26,8625233.96,0.00
1720,FURNITURE & FIXTURES,2025,218456.02,8843689.98,0.00
1721,GENERAL EQUIPMENTS,2013,14152.59,14152.59,0.00
1721,GENERAL EQUIPMENTS,2014,195876.49,210029.08,0.00
1721,GENERAL EQUIPMENTS,2015,223233.51,433262.59,0.00
1721,GENERAL EQUIPMENTS,2016,228617.12,661879.71,0.00
1721,GENERAL EQUIPMENTS,2017,244414.53,906294.24,0.00
1721,GENERAL EQUIPMENTS,2018,260169.44,1166463.68,0.00
1721,GENERAL EQUIPMENTS,2019,260526.48,1426990.16,0.00
1721,GENERAL EQUIPMENTS,2020,260888.35,1687878.51,0.00
1721,GENERAL EQUIPMENTS,2021,93870.40,1781748.91,0.00
1721,GENERAL EQUIPMENTS,2022,90856.60,1872605.51,0.00
1721,GENERAL EQUIPMENTS,2023,86848.53,1959454.04,0.00
1721,GENERAL EQUIPMENTS,2024,83164.31,2042618.35,0.00
1721,GENERAL EQUIPMENTS,2025,112714.47,2155332.82,0.00
1722,HOTEL BUILDING,2013,244414.13,244414.13,0.00
1722,HOTEL BUILDING,2014,5947410.42,6191824.55,0.00
1722,HOTEL BUILDING,2015,5948334.96,12140159.51,0.00
1722,HOTEL BUILDING,2016,5968380.61,18108540.12,0.00
1722,HOTEL BUILDING,2017,5955766.79,24064306.91,0.00
1722,HOTEL BUILDING,2018,5959422.31,30023729.22,0.00
1722,HOTEL BUILDING,2019,5965308.71,35989037.93,0.00
1722,HOTEL BUILDING,2020,5987783.30,41976821.23,0.00
1722,HOTEL BUILDING,2021,5979999.30,47956820.53,0.00
1722,HOTEL BUILDING,2022,6052216.17,54009036.70,0.00
1722,HOTEL BUILDING,2023,6068859.68,60077896.38,0.00
1722,HOTEL BUILDING,2024,6132082.37,66209978.75,0.00
1722,HOTEL BUILDING,2025,6199461.93,72409440.68,0.00
1727,IT,2013,0.00,0.00,0.00
1727,IT,2014,0.00,0.00,0.00
1727,IT,2015,0.00,0.00,0.00
1727,IT,2016,0.00,0.00,0.00
1727,IT,2017,0.00,0.00,0.00
1727,IT,2018,0.00,0.00,0.00
1727,IT,2019,0.00,0.00,0.00
1727,IT,2020,0.00,0.00,0.00
1727,IT,2021,0.00,0.00,0.00
1727,IT,2022,0.00,0.00,0.00
1727,IT,2023,1793.84,1793.84,0.00
1727,IT,2024,1803.70,3597.54,0.00
1727,IT,2025,1798.76,5396.30,0.00
1723,IT ASSETS,2013,43722.27,43722.27,0.00
1723,IT ASSETS,2014,280316.27,324038.54,0.00
1723,IT ASSETS,2015,297161.88,621200.42,0.00
1723,IT ASSETS,2016,302596.60,923797.02,0.00
1723,IT ASSETS,2017,329753.10,1253550.12,0.00
1723,IT ASSETS,2018,316596.44,1570146.56,0.00
1723,IT ASSETS,2019,98532.24,1668678.80,0.00
1723,IT ASSETS,2020,91738.05,1760416.85,0.00
1723,IT ASSETS,2021,117951.79,1878368.64,0.00
1723,IT ASSETS,2022,193016.78,2071385.42,0.00
1723,IT ASSETS,2023,226225.81,2297611.23,0.00
1723,IT ASSETS,2024,258053.17,2555664.40,0.00
1723,IT ASSETS,2025,293532.41,2849196.81,0.00
1724,KITCHEN EQUIPMENTS,2013,19325.81,19325.81,0.00
1724,KITCHEN EQUIPMENTS,2014,394662.10,413987.91,0.00
1724,KITCHEN EQUIPMENTS,2015,424066.91,838054.82,0.00
1724,KITCHEN EQUIPMENTS,2016,428516.31,1266571.13,0.00
1724,KITCHEN EQUIPMENTS,2017,431431.78,1698002.91,0.00
1724,KITCHEN EQUIPMENTS,2018,431099.28,2129102.19,0.00
1724,KITCHEN EQUIPMENTS,2019,84913.16,2214015.35,0.00
1724,KITCHEN EQUIPMENTS,2020,70827.46,2284842.81,0.00
1724,KITCHEN EQUIPMENTS,2021,68911.81,2353754.62,0.00
1724,KITCHEN EQUIPMENTS,2022,66822.17,2420576.79,0.00
1724,KITCHEN EQUIPMENTS,2023,57362.70,2477939.49,0.00
1724,KITCHEN EQUIPMENTS,2024,84986.64,2562926.13,0.00
1724,KITCHEN EQUIPMENTS,2025,138493.23,2701419.36,0.00
1725,MEP ASSETS,2013,0.00,0.00,0.00
1725,MEP ASSETS,2014,773006.23,773006.23,0.00
1725,MEP ASSETS,2015,853283.47,1626289.70,0.00
1725,MEP ASSETS,2016,869507.89,2495797.59,0.00
1725,MEP ASSETS,2017,923097.92,3418895.51,0.00
1725,MEP ASSETS,2018,989076.76,4407972.27,0.00
1725,MEP ASSETS,2019,1074327.87,5482300.14,0.00
1725,MEP ASSETS,2020,1120273.55,6602573.69,0.00
1725,MEP ASSETS,2021,405139.61,7007713.30,0.00
1725,MEP ASSETS,2022,342445.09,7350158.39,0.00
1725,MEP ASSETS,2023,352519.87,7702678.26,0.00
1725,MEP ASSETS,2024,369680.63,8072358.89,0.00
1725,MEP ASSETS,2025,334958.50,8407317.39,0.00
1726,MOTOR VEHICLES,2013,0.00,0.00,0.00
1726,MOTOR VEHICLES,2014,65036.23,65036.23,0.00
1726,MOTOR VEHICLES,2015,103369.19,168405.42,0.00
1726,MOTOR VEHICLES,2016,103652.41,272057.83,0.00
1726,MOTOR VEHICLES,2017,103369.19,375427.02,0.00
1726,MOTOR VEHICLES,2018,103369.21,478796.23,0.00
1726,MOTOR VEHICLES,2019,38403.77,517200.00,0.00
1726,MOTOR VEHICLES,2020,0.00,517200.00,0.00
1726,MOTOR VEHICLES,2021,0.00,517200.00,0.00
1726,MOTOR VEHICLES,2022,37547.14,554747.14,0.00
1726,MOTOR VEHICLES,2023,50017.17,604764.31,0.00
1726,MOTOR VEHICLES,2024,50154.20,654918.51,0.00
1726,MOTOR VEHICLES,2025,50017.17,704935.68,0.00
